Abtei;21006
Ahrntal;21108
Aldein;21001
Algund;21038
Altrei;21003
Andrian;21002
Auer;21060
Barbian;21007
Bozen;21008
Branzoll;21012
Brenner;21010
Brixen;21011
Bruneck;21013
Burgstall;21066
Corvara;21026
Deutschnofen;21059
Enneberg;21047
Eppan an der Weinstraße;21004
Feldthurns;21116
Franzensfeste;21032
Freienfeld;21016
Gais;21034
Gargazon;21035
Glurns;21036
Graun im Vinschgau;21027
Gsies;21109
Hafling;21005
Innichen;21077
Jenesien;21079
Kaltern an der Weinstraße;21015
Karneid;21023
Kastelbell-Tschars;21018
Kastelruth;21019
Kiens;21021
Klausen;21022
Kuens;21014
Kurtatsch an der Weinstraße;21024
Kurtinig an der Weinstraße;21025
Laas;21042
Lajen;21039
Lana;21041
Latsch;21037
Laurein;21043
Leifers;21040
Lüsen;21044
Mals;21046
Margreid an der Weinstraße;21045
Marling;21048
Martell;21049
Meran;21051
Mölten;21050
Montan;21053
Moos in Passeier;21054
Mühlbach;21074
Mühlwald;21088
Nals;21055
Naturns;21056
Natz-Schabs;21057
Neumarkt;21029
Niederdorf;21113
Olang;21106
Partschins;21062
Percha;21063
Pfalzen;21030
Pfatten;21105
Pfitsch;21107
Plaus;21064
Prad am Stilfserjoch;21067
Prags;21009
Prettau;21068
Proveis;21069
Rasen-Antholz;21071
Ratschings;21070
Riffian;21073
Ritten;21072
Rodeneck;21075
Salurn;21076
Sand in Taufers;21017
St. Christina in Gröden;21085
St. Leonhard in Passeier;21080
St. Lorenzen;21081
St. Martin in Passeier;21083
St. Martin in Thurn;21082
St. Pankraz;21084
St. Ulrich in Gröden;21061
Sarntal;21086
Schenna;21087
Schlanders;21093
Schluderns;21094
Schnals;21091
Sexten;21092
Sterzing;21115
Stilfs;21095
Taufers im Münstertal;21103
Terenten;21096
Terlan;21097
Tiers;21100
Dorf Tirol;21101
Tisens;21099
Toblach;21028
Tramin an der Weinstraße;21098
Truden im Naturpark;21102
Tscherms;21020
Ulten;21104
Unsere Liebe Frau im Walde-St. Felix;21118
Vahrn;21111
Villanders;21114
Villnöß;21033
Vintl;21110
Völs am Schlern;21031
Vöran;21112
Waidbruck;21065
Welsberg-Taisten;21052
Welschnofen;21058
Wengen;21117
Wolkenstein in Gröden;21089
